2024-10-23 08:41:30 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-10-23 08:41:37 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-10-23 08:41:37 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 4 endpoints beneath base path '/actuator'
2024-10-23 08:41:39 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2024-10-23 08:41:39 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8050"]
2024-10-23 08:41:39 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8050 (http) with context path '/'
2024-10-23 08:41:40 [http-nio-8050-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-10-23 08:41:40 [http-nio-8050-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-10-23 08:41:40 [http-nio-8050-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-10-23 08:41:40 [http-nio-8050-exec-1] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:41:40 [http-nio-8050-exec-1] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:41:40 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2024-10-23 08:41:40 [main] INFO  c.h.a.AuthServiceApplication - Started AuthServiceApplication in 13.14 seconds (process running for 14.367)
2024-10-23 08:41:50 [http-nio-8050-exec-2] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:41:50 [http-nio-8050-exec-2] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:42:00 [http-nio-8050-exec-3] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:42:00 [http-nio-8050-exec-3] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:42:10 [http-nio-8050-exec-4] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:42:10 [http-nio-8050-exec-4] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:42:20 [http-nio-8050-exec-5] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:42:20 [http-nio-8050-exec-5] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:42:30 [http-nio-8050-exec-6] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:42:30 [http-nio-8050-exec-6] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:42:40 [http-nio-8050-exec-7] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:42:40 [http-nio-8050-exec-7] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:42:41 [http-nio-8050-exec-9] INFO  c.h.a.config.AccessLogFilter - Incoming request: POST /api/auth/authenticate from 0:0:0:0:0:0:0:1
2024-10-23 08:42:41 [http-nio-8050-exec-9] INFO  c.h.a.config.AccessLogFilter - Response status: 401
2024-10-23 08:42:50 [http-nio-8050-exec-8] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:42:50 [http-nio-8050-exec-8] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:42:54 [http-nio-8050-exec-1] INFO  c.h.a.config.AccessLogFilter - Incoming request: POST /api/auth/authenticate from 0:0:0:0:0:0:0:1
2024-10-23 08:42:54 [http-nio-8050-exec-1] INFO  c.h.a.service.impl.AuthServiceImpl - Access token: eyJhbGciOiJIUzUxMiJ9.eyJ1c2VySWQiOjIsInN1YiI6IkR1YyIsImlhdCI6MTcyOTY0Nzc3NCwiZXhwIjoxNzI5NjU2NDE0LCJhdXRob3JpdGllcyI6WyJST0xFX1VTRVIiXX0.G_Oy2JpU92_4yIer6PCpqnPLH10BkBOtEp6KL1bkA0vlJllFL2VvBWJPha_jROR_NmQFrrsKVm2CRYMA10XfAA
2024-10-23 08:42:54 [http-nio-8050-exec-1] INFO  c.h.a.service.impl.AuthServiceImpl - Refresh token: eyJhbGciOiJIUzUxMiJ9.eyJ1c2VySWQiOjIsInN1YiI6IkR1YyIsImlhdCI6MTcyOTY0Nzc3NCwiZXhwIjoxNzMwMjUyNTc0LCJhdXRob3JpdGllcyI6WyJST0xFX1VTRVIiXX0.DsIv_sqyW0QzT35t_UbCppXkR9z7cmBLw5XbJXC8GAqkYg_AzcyTM_OjHAGs5TbebGPSnvhl4PZ-6oW8EoTT1A
2024-10-23 08:42:54 [http-nio-8050-exec-1] INFO  c.h.a.controller.AuthController - Accessed /authenticate
2024-10-23 08:42:54 [http-nio-8050-exec-1] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:43:00 [http-nio-8050-exec-2] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:43:00 [http-nio-8050-exec-2] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:43:10 [http-nio-8050-exec-3] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:43:10 [http-nio-8050-exec-3] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:43:20 [http-nio-8050-exec-4] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:43:20 [http-nio-8050-exec-4] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:43:30 [http-nio-8050-exec-5] INFO  c.h.a.config.AccessLogFilter - Incoming request: GET /actuator/prometheus from 127.0.0.1
2024-10-23 08:43:30 [http-nio-8050-exec-5] INFO  c.h.a.config.AccessLogFilter - Response status: 200
2024-10-23 08:43:32 [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-10-23 08:43:32 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-10-23 08:43:32 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
